"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,0,0,0,0,0,0,0,0
"2",0.646766040939838,0.220776239410043,0.289196197409183,0.045163088478148,0.143892721738666,-0.272873185575008,-0.498305602464825,0.0183627158403397,-0.0111416829749942
"3",0.0620334069244564,0.0455916030332446,0.398092709481716,0.526808383874595,0.24479488376528,-0.301405790727586,-0.447237280663103,0.099147042259574,-0.356124972458929
"4",-0.515343877486885,-0.0945203970186412,0.350298177450895,-0.128603654447943,0.260040072724223,0.119029341265559,0.370729000307620,-0.280957676470280,-0.424934617243707
"5",-0.197802067734301,0.589403248392045,0.335445723962039,0.483148185536265,0.17911388957873,-0.340065354947001,-0.110693813301623,0.153523415792733,-0.0822185301221907
"6",0.395822779741138,-0.0557593964040279,0.293098507914692,0.0214661541394889,-0.251020440831780,-0.207613741513342,0.149326381273568,0.741784326732159,0.0268323505297303
"7",-0.0387485004030168,0.208278442267329,-0.355239728465676,-0.520926625933498,0.157186770811677,0.0230477242730558,-0.603415926918387,-0.0806527556851506,-0.261751414276659
"8",0.463130827993155,-0.387471553869545,0.0740170176140964,-0.0981294638477266,-0.695990121457726,0.0313682532869279,0.189745039213449,-0.0666583720594645,-0.0115023381076753
"9",-0.209678133949637,-0.451650315430015,-0.0265553756617010,0.0782198016531765,0.183396606706083,-0.77047631656751,0.174202524591237,-0.110115753486753,0.0707361279055476
"10",0.275677892379463,-0.0831792014651,-0.0240640714764595,-0.370328475721180,0.595524698961526,0.202069806866348,-0.0084715187549591,0.532546752132475,0.308257413096726
"11",-0.0740870223380625,-0.170124148018658,0.520813069771975,0.164694236125797,-0.443906225729734,0.231321131810546,0.248539330903441,-0.312087964266539,-0.43897123541683
"12",0.197833858430386,-0.091011876706034,-0.0297111803665757,0.120576390530914,0.478606163989753,0.245903973001987,-0.547050776425749,0.174041046760976,0.101230810396373
"13",0.416927521117032,0.10920704388991,0.235489166341722,0.419255857821554,-0.099421442952007,0.256212872918695,0.109916459769011,-0.0776667553000152,-0.0420181644149125
"14",0.331056203693151,-0.100094597321004,-0.405367043334991,0.324188927188516,0.175904282368720,0.158546737395227,-0.513783122878522,0.200215970631689,0.102789239492267
